,Title,LCCN,Start_Date,End_Date,Town,State,LatLong,X1880_Population
233,"Weekly Delaware State journal, statesman and blue hen's chicken.",sn89099200,1857-08-28,1857-08-28,Wilmington,Delaware,"39.744655, -75.5483909",42478
234,Weekly post.,2017270502,1889-11-09,1889-11-09,Wilmington,Delaware,"39.744655, -75.5483909",42478
235,The Weekly times.,sn88053052,1886-10-16,1887-03-19,Wilmington,Delaware,"39.744655, -75.5483909",42478
236,Wilmington argus.,sn88053054,1880-01-14,1880-01-14,Wilmington,Delaware,"39.744655, -75.5483909",42478
237,Wilmington daily commercial.,sn84020594,1872-01-01,1876-12-30,Wilmington,Delaware,"39.744655, -75.5483909",42478
238,Wilmington daily gazette.,sn84026837,1872-04-02,1874-08-20,Wilmington,Delaware,"39.744655, -75.5483909",42478
239,The Wilmington daily Republican.,sn88053055,1890-12-26,4/8/1902,Wilmington,Delaware,"39.744655, -75.5483909",42478
240,The Wilmington Democrat.,sn88053040,1/12/1901,1/12/1901,Wilmington,Delaware,"39.744655, -75.5483909",42478
241,Wilmington expositor.,sn88053122,1831-08-26,1832-07-06,Wilmington,Delaware,"39.744655, -75.5483909",42478
242,Wilmington lokal-anzeiger und Wilmington freie presse.,sn88053071,5/16/1914,5/16/1914,Wilmington,Delaware,"39.744655, -75.5483909",42478
243,The Wilmington mercury.,sn88053099,1798-09-18,1798-10-30,Wilmington,Delaware,"39.744655, -75.5483909",42478
244,"The Wilmingtonian, and Delaware advertiser.",sn85042523,1825-11-10,1827-09-13,Wilmington,Delaware,"39.744655, -75.5483909",42478
245,"The Wilmingtonian, and Delaware register.",sn88053080,1824-05-20,1825-11-03,Wilmington,Delaware,"39.744655, -75.5483909",42478
246,The Wilmingtonian.,sn88053098,1882-04-22,1888-09-08,Wilmington,Delaware,"39.744655, -75.5483909",42478
247,The Wilmingtonian.,sn88053079,1823-06-26,1824-05-13,Wilmington,Delaware,"39.744655, -75.5483909",42478
248,American telegraph.,sn82014594,1851-03-24,1851-12-20,Washington City,District of Columbia,"38.9037259, -77.0105277",147293
249,The American.,sn82014015,1857-07-31,1857-12-31,Washington City,District of Columbia,"38.9037259, -77.0105277",147293
250,The bee.,sn84025890,1882-06-10,1884-07-26,Washington City,District of Columbia,"38.9037259, -77.0105277",147293
251,The colored American.,sn83027091,1899-11-25,11/12/1904,Washington City,District of Columbia,"38.9037259, -77.0105277",147293
252,The Columbian fountain.,sn82014769,1845-11-04,1846-11-13,Washington City,District of Columbia,"38.9037259, -77.0105277",147293
253,The Critic and record.,sn87062228,1891-03-26,1891-05-14,Washington City,District of Columbia,"38.9037259, -77.0105277",147293
254,The critic.,sn2008058171,1890-12-13,1891-03-25,Washington City,District of Columbia,"38.9037259, -77.0105277",147293
255,Daily American organ.,sn85042002,1854-11-13,1856-11-14,Washington City,District of Columbia,"38.9037259, -77.0105277",147293
256,Daily American telegraph.,sn82014593,1851-12-22,1852-11-18,Washington City,District of Columbia,"38.9037259, -77.0105277",147293
257,Daily critic.,sn82014402,1880-05-22,1881-06-11,Washington City,District of Columbia,"38.9037259, -77.0105277",147293
258,The daily critic.,sn2008058170,1890-05-26,1890-12-12,Washington City,District of Columbia,"38.9037259, -77.0105277",147293
259,Daily evening star.,sn83045461,1852-12-16,1854-10-07,Washington City,District of Columbia,"38.9037259, -77.0105277",147293
260,The daily Madisonian.,sn84020074,1841-12-15,1845-04-29,Washington City,District of Columbia,"38.9037259, -77.0105277",147293
261,Daily national era.,sn86053546,1854-01-02,1854-08-05,Washington City,District of Columbia,"38.9037259, -77.0105277",147293
262,Daily national Republican.,sn86053572,1870-01-14,1872-11-25,Washington City,District of Columbia,"38.9037259, -77.0105277",147293
263,Daily national Republican.,sn86053570,1862-11-10,1866-03-31,Washington City,District of Columbia,"38.9037259, -77.0105277",147293
264,The daily national Whig.,sn82014405,1847-08-09,1849-06-20,Washington City,District of Columbia,"38.9037259, -77.0105277",147293
265,The daily republic.,sn82014166,1853-07-06,1853-08-27,Washington City,District of Columbia,"38.9037259, -77.0105277",147293
266,The daily union.,sn82003410,1845-05-01,1857-04-15,Washington City,District of Columbia,"38.9037259, -77.0105277",147293
267,The Evening critic.,sn82014424,1881-06-13,1885-05-06,Washington City,District of Columbia,"38.9037259, -77.0105277",147293
268,The Evening post.,sn82000195,1888-10-15,1889-01-05,Washington City,District of Columbia,"38.9037259, -77.0105277",147293
269,Evening star.,sn83045462,1854-10-09,10/17/1951,Washington City,District of Columbia,"38.9037259, -77.0105277",147293
270,The evening times.,sn84024441,1895-08-05,11/29/1902,Washington City,District of Columbia,"38.9037259, -77.0105277",147293
271,The hatchet.,sn82014159,4/29/1900,9/16/1900,Washington City,District of Columbia,"38.9037259, -77.0105277",147293
272,The Madisonian.,sn82014039,1839-02-02,1841-12-04,Washington City,District of Columbia,"38.9037259, -77.0105277",147293
273,The Madisonian.,sn82015015,1837-08-16,1845-03-25,Washington City,District of Columbia,"38.9037259, -77.0105277",147293
274,The morning times.,sn84024442,1895-07-04,1897-03-11,Washington City,District of Columbia,"38.9037259, -77.0105277",147293
275,The national era.,sn84026752,1850-01-03,1860-03-15,Washington City,District of Columbia,"38.9037259, -77.0105277",147293
276,The national forum.,sn82015056,5/28/1910,11/12/1910,Washington City,District of Columbia,"38.9037259, -77.0105277",147293
277,The national intelligencer and Washington advertiser.,sn83045242,1800-10-31,1809-12-29,Washington City,District of Columbia,"38.9037259, -77.0105277",147293
278,The National Republican.,sn82015130,1885-11-17,1885-11-17,Washington City,District of Columbia,"38.9037259, -77.0105277",147293
279,National Republican.,sn86053573,1872-11-26,1888-06-11,Washington City,District of Columbia,"38.9037259, -77.0105277",147293
280,The national Republican.,sn86053571,1866-04-02,1870-01-13,Washington City,District of Columbia,"38.9037259, -77.0105277",147293
281,The national Republican.,sn82014760,1860-11-26,1862-11-08,Washington City,District of Columbia,"38.9037259, -77.0105277",147293
282,The National tribune.,sn82016187,1877-10-01,4/27/1911,Washington City,District of Columbia,"38.9037259, -77.0105277",147293
283,The national whig.,sn82003399,1847-04-07,1847-08-07,Washington City,District of Columbia,"38.9037259, -77.0105277",147293
284,The native American.,sn86053569,1837-08-10,1840-11-28,Washington City,District of Columbia,"38.9037259, -77.0105277",147293
285,New era.,sn84024437,1870-01-13,1870-09-01,Washington City,District of Columbia,"38.9037259, -77.0105277",147293
286,New national era.,sn84026753,1870-09-08,1874-10-22,Washington City,District of Columbia,"38.9037259, -77.0105277",147293
287,The republic.,sn82014434,1849-06-13,1853-06-30,Washington City,District of Columbia,"38.9037259, -77.0105277",147293
288,The southern press.,sn82014763,1850-06-25,1852-08-14,Washington City,District of Columbia,"38.9037259, -77.0105277",147293
289,The southern press.,sn82014764,1850-06-18,1852-08-09,Washington City,District of Columbia,"38.9037259, -77.0105277",147293
290,The suburban citizen.,sn82016357,1/6/1900,12/27/1902,Washington City,District of Columbia,"38.9037259, -77.0105277",147293
291,The Sunday globe.,sn82016351,5/5/1901,8/11/1901,Washington City,District of Columbia,"38.9037259, -77.0105277",147293
292,The Sunday herald and weekly national intelligencer.,sn82016373,1887-02-06,1891-12-27,Washington City,District of Columbia,"38.9037259, -77.0105277",147293
293,The Sunday herald.,sn85042682,1879-09-14,1887-01-30,Washington City,District of Columbia,"38.9037259, -77.0105277",147293
294,Sunday morning globe.,sn82016352,8/18/1901,12/15/1901,Washington City,District of Columbia,"38.9037259, -77.0105277",147293
295,Sunday Washington globe.,sn82016353,12/22/1901,6/29/1902,Washington City,District of Columbia,"38.9037259, -77.0105277",147293
296,The times.,sn85054468,1897-03-12,6/29/1901,Washington City,District of Columbia,"38.9037259, -77.0105277",147293
297,The Washington bee.,sn84025891,1886-05-29,3/30/1912,Washington City,District of Columbia,"38.9037259, -77.0105277",147293
298,The Washington critic.,sn82000205,1885-05-07,1888-10-13,Washington City,District of Columbia,"38.9037259, -77.0105277",147293
299,The Washington critic.,sn2008058169,1890-01-27,1890-05-24,Washington City,District of Columbia,"38.9037259, -77.0105277",147293
300,The Washington critic.,sn82000189,1889-01-07,1889-07-03,Washington City,District of Columbia,"38.9037259, -77.0105277",147293
301,The Washington herald.,sn83045433,10/8/1906,12/30/1922,Washington City,District of Columbia,"38.9037259, -77.0105277",147293
302,Washington sentinel.,sn82016354,1898-01-01,6/29/1901,Washington City,District of Columbia,"38.9037259, -77.0105277",147293
303,Washington sentinel.,sn84020104,1853-09-24,1855-03-25,Washington City,District of Columbia,"38.9037259, -77.0105277",147293
304,Washington sentinel.,sn82014835,1855-03-27,1856-08-19,Washington City,District of Columbia,"38.9037259, -77.0105277",147293
305,The Washington times.,sn84026749,12/1/1902,12/31/1922,Washington City,District of Columbia,"38.9037259, -77.0105277",147293
306,The Washington times.,sn87062244,1894-03-18,1895-07-03,Washington City,District of Columbia,"38.9037259, -77.0105277",147293
307,The Washington times.,sn87062245,6/30/1901,10/31/1902,Washington City,District of Columbia,"38.9037259, -77.0105277",147293
308,The Washington union.,sn82006534,1857-04-16,1859-04-10,Washington City,District of Columbia,"38.9037259, -77.0105277",147293
309,The Washington weekly post.,sn87062234,1899-02-07,12/25/1900,Washington City,District of Columbia,"38.9037259, -77.0105277",147293
310,The Washingtonian.,sn82016312,1845-06-07,1845-09-27,Washington City,District of Columbia,"38.9037259, -77.0105277",147293
311,Weekly American.,sn82014016,1858-01-09,1858-06-12,Washington City,District of Columbia,"38.9037259, -77.0105277",147293
312,Weekly national intelligencer.,sn83045784,1843-07-01,1864-12-29,Washington City,District of Columbia,"38.9037259, -77.0105277",147293
313,The weekly news.,sn82016441,8/7/1909,12/11/1909,Washington City,District of Columbia,"38.9037259, -77.0105277",147293
314,The Whig standard.,sn82016317,1843-11-06,1844-11-16,Washington City,District of Columbia,"38.9037259, -77.0105277",147293
315,Bradford County telegraph.,sn95047406,1895-02-22,12/9/1910,Starke,Florida,"29.9441298, -82.1098275",NA
316,The champion.,sn95047227,1/4/1906,12/24/1908,Arcadia,Florida,"27.2158826, -81.8584164",NA
317,The Chipley banner.,sn95047263,1897-06-19,12/26/1912,Chipley,Florida,"30.7818584, -85.538541",NA
318,The daily news.,sn96027213,2/2/1900,4/19/1900,Pensacola,Florida,"30.421309, -87.2169149",NA
319,The Daytona daily news.,sn93063916,1/2/1905,2/27/1922,Daytona,Florida,"29.2108147, -81.0228331",NA
320,The Daytona gazette=news.,sn93059208,1/3/1903,12/25/1909,Daytona,Florida,"29.2108147, -81.0228331",NA
321,The De Soto County news.,sn95026908,8/11/1905,12/28/1916,Arcadia,Florida,"27.2158826, -81.8584164",NA
322,DeLand news.,sn92062121,1/22/1909,12/31/1909,DeLand,Florida,"29.028318, -81.3031179",NA
323,The DeLand weekly news.,sn95026697,1/1/1903,1/25/1907,DeLand,Florida,"29.028318, -81.3031179",NA
324,The enterprise-recorder.,sn95047179,6/25/1908,8/30/1912,Madison,Florida,"30.4693772, -83.4129254",NA
325,The Florida agriculturist.,sn96027724,1878-05-15,6/1/1910,DeLand,Florida,"29.028318, -81.3031179",NA
326,The Florida star.,sn96027111,1/5/1900,1/7/1910,Titusville,Florida,"28.6122187, -80.8075537",NA
327,Fort Pierce news.,sn96027172,11/16/1906,12/8/1911,Fort Pierce,Florida,"27.4467056, -80.3256056",NA
328,Gainesville daily sun.,sn95026977,1/1/1905,12/31/1909,Gainesville,Florida,"29.6516344, -82.3248262",NA
329,The Gainesville star.,sn95047242,5/1/1903,10/4/1904,Gainesville,Florida,"29.6516344, -82.3248262",NA
330,The gazette-news.,sn95047378,1/5/1901,12/27/1902,Daytona,Florida,"29.2108147, -81.0228331",NA
331,Gulf Coast breeze.,sn95047266,1897-06-04,7/23/1915,Crawfordville,Florida,"30.1944839, -84.3711207",NA
332,The Key West citizen.,sn83016244,2/18/1926,8/31/1933,Key West,Florida,"24.5550593, -81.7799871",NA
333,The Lakeland evening telegram.,sn95047222,11/1/1911,8/31/1922,Lakeland,Florida,"28.0394654, -81.9498042",NA
334,Live Oak daily Democrat.,sn95026788,8/27/1906,12/27/1907,Live Oak,Florida,"30.2949457, -82.98402",NA
335,The Morning sun.,sn95047371,4/1/1907,6/5/1909,Tallahassee,Florida,"30.4382559, -84.2807329",NA
336,Nassau County leader.,sn95026701,1896-01-17,4/14/1922,Fernandina,Florida,"30.6696818, -81.4625919",NA
337,The new enterprise.,sn95047178,9/5/1901,6/18/1908,Madison,Florida,"30.4693772, -83.4129254",NA
338,The Ocala banner.,sn88074815,1/4/1901,12/31/1909,Ocala,Florida,"29.1871986, -82.1400923",NA
339,The Ocala evening star.,sn84027621,1895-06-24,12/30/1922,Ocala,Florida,"29.1871986, -82.1400923",NA
340," The Ocaleean ensign / [volume] (Ocala, Fla) 1917-19?? ",2014271550,1/31/1918,5/9/1918,Ocala,Florida,"29.1871986, -82.1400923",NA
341,Palatka daily news.,sn78001466,10/18/1919,12/31/1922,Palatka,Florida,"29.6485801, -81.6375819",NA
342,The Palatka daily news.,sn89070049,1884-03-01,1888-03-04,Palatka,Florida,"29.6485801, -81.6375819",NA
343,The Palatka news and advertiser.,sn95047297,1/2/1902,3/17/1905,Palatka,Florida,"29.6485801, -81.6375819",NA
344,The Palatka news and advertiser.,sn95047299,1/7/1910,12/28/1917,Palatka,Florida,"29.6485801, -81.6375819",NA
345,The Palatka news.,sn95047298,3/24/1905,12/27/1907,Palatka,Florida,"29.6485801, -81.6375819",NA
346,Panama City pilot.,sn88084205,5/30/1907,12/31/1908,Panama City,Florida,"30.1588129, -85.6602058",NA
347,The Pensacola journal.,sn87062268,1/1/1905,12/31/1922,Pensacola,Florida,"30.421309, -87.2169149",NA
348,The Punta Gorda herald.,sn95047324,1/10/1902,12/29/1922,Punta Gorda,Florida,"26.9297836, -82.0453664",NA
349,The San Mateo item.,sn95047348,10/24/1908,8/26/1911,San Mateo City,Florida,"29.6066367, -81.5845234",NA
350,The St. Lucie County tribune.,sn89058426,7/21/1905,12/29/1911,Fort Pierce,Florida,"27.4467056, -80.3256056",NA
351,The sun.,sn95047216,11/18/1905,11/10/1906,Jacksonville,Florida,"30.3321838, -81.655651",NA
352,Suwannee Democrat.,sn95026787,1/1/1909,10/31/1909,Live Oak,Florida,"30.2949457, -82.98402",NA
353,The university news.,sn96027438,10/19/1906,4/27/1907,Gainesville,Florida,"29.6516344, -82.3248262",NA
354,The Weekly Tallahasseean.,sn95047416,7/19/1900,4/11/1902,Tallahassee,Florida,"30.4382559, -84.2807329",NA
355,The weekly true Democrat.,sn95047417,3/3/1905,6/5/1913,Tallahassee,Florida,"30.4382559, -84.2807329",NA
356,"Cherokee phoenix, and Indians' advocate.",sn83020874,1829-03-04,1833-10-19,New Echota,Georgia,"34.540987, -84.90933",NA
357,Cherokee phoenix.,sn83020866,1828-03-06,1829-02-04,New Echota,Georgia,"34.540987, -84.90933",NA
358,The daily Chattanooga rebel.,sn82014371,1864-06-09,1865-04-15,Griffin,Georgia,"33.2467807, -84.2640904",NA
359,Austin's Hawaiian weekly.,sn85047152,1899-06-17,5/12/1900,Honolulu,Hawaii,"21.3069444, -157.8583333",NA
360,The Daily bulletin.,sn82016412,1882-02-01,1895-05-15,Honolulu,Hawaii,"21.3069444, -157.8583333",NA
361,The daily herald.,sn85047239,1886-09-01,1887-07-30,Honolulu,Hawaii,"21.3069444, -157.8583333",NA
362,Daily Honolulu press.,sn85047264,1885-09-01,1886-06-03,Honolulu,Hawaii,"21.3069444, -157.8583333",NA
363,The Democrat.,sn82016408,10/25/1910,11/8/1910,Honolulu,Hawaii,"21.3069444, -157.8583333",NA
364,Evening bulletin.,sn82016413,1895-05-16,6/29/1912,Honolulu,Hawaii,"21.3069444, -157.8583333",NA
365,The Garden Island.,sn82015411,5/2/1911,12/26/1922,Lihue,Hawaii,"21.9811111, -159.3711111",NA
366,Hawaii holomua = Progress.,sn82016410,1893-09-18,1895-01-05,Honolulu,Hawaii,"21.3069444, -157.8583333",NA
367,Hawaii holomua.,sn85047059,1894-06-20,1894-07-30,Honolulu,Hawaii,"21.3069444, -157.8583333",NA
368,The Hawaiian gazette.,sn83025121,1868-04-22,10/18/1918,Honolulu,Hawaii,"21.3069444, -157.8583333",NA
369,The Hawaiian star.,sn82015415,1893-03-28,6/29/1912,Honolulu,Hawaii,"21.3069444, -157.8583333",NA
370,Hilo tribune.,sn82016339,1/2/1902,6/26/1906,Hilo,Hawaii,"19.7241106, -155.0868193",NA
371,The Honolulu republican.,sn85047165,6/14/1900,1/25/1902,Honolulu,Hawaii,"21.3069444, -157.8583333",NA
372,Honolulu star-bulletin.,sn82014682,7/1/1912,12/31/1917,Honolulu,Hawaii,"21.3069444, -157.8583333",NA
373,The Honolulu times.,sn85047211,10/1/1902,2/1/1911,Honolulu,Hawaii,"21.3069444, -157.8583333",NA
374,The Independent.,sn85047097,1895-06-24,10/24/1905,Honolulu,Hawaii,"21.3069444, -157.8583333",NA
375,The Independent.,sn84020096,1895-05-01,1895-06-15,Honolulu,Hawaii,"21.3069444, -157.8583333",NA
376,The Maui news.,sn82014689,2/17/1900,12/29/1922,Wailuku,Hawaii,"20.8911111, -156.5047222",NA
377,The Pacific commercial advertiser.,sn85047084,1856-07-02,12/31/1910,Honolulu,Hawaii,"21.3069444, -157.8583333",NA
378,The Pacific commercial advertiser.,sn82015418,1856-07-02,1884-12-30,Honolulu,Hawaii,"21.3069444, -157.8583333",NA
379,Polynesian.,sn82015408,1844-05-18,1863-04-25,Honolulu,Hawaii,"21.3069444, -157.8583333",NA
380,The Polynesian.,sn82015413,1840-06-06,1841-12-11,Oahu),Hawaii,"21.4389123, -158.0000565",NA
381,Saturday press.,sn82014681,1880-09-04,1885-08-29,Honolulu,Hawaii,"21.3069444, -157.8583333",NA
382,American Falls press.,sn86063041,7/27/1907,9/28/1922,American Falls,Idaho,"42.7860226, -112.8544377",NA
383,The Bingham County news.,sn86091196,4/15/1921,12/29/1922,Blackfoot,Idaho,"43.1904709, -112.3449773",NA
384,Blackfoot news.,sn88056017,1891-11-07,1/1/1902,Blackfoot,Idaho,"43.1904709, -112.3449773",NA
385,The Blackfoot optimist.,sn86091195,12/15/1910,12/28/1916,Blackfoot,Idaho,"43.1904709, -112.3449773",NA
386,Boise news.,sn89055016,1863-09-29,1864-10-22,Bannock City,Idaho,"42.8613016, -112.7227673",NA
387,Bonners Ferry herald.,sn86091084,12/31/1904,12/30/1919,Bonners Ferry,Idaho,"48.6913257, -116.3163092",NA
388,The Caldwell tribune.,sn86091092,1888-01-07,12/26/1922,Caldwell,Idaho,"43.6629384, -116.6873596",NA
389,Camas Prairie chronicle.,sn88056165,4/5/1901,9/14/1917,Cottonwood,Idaho,"46.0484923, -116.3495898",NA
390,The Challis messenger.,sn88056159,1/2/1918,12/27/1922,Challis,Idaho,"44.5046445, -114.2317308",NA
391,Clearwater Republican.,sn86091128,3/28/1912,4/28/1922,Orofino,Idaho,"46.479347, -116.2551395",NA
392,Coeur d'Alene evening press.,sn88056094,11/18/1907,7/30/1910,Coeur d&#39;Alene,Idaho,"47.7019211, -116.7900083",NA
393,The Coeur d'Alene press.,sn88056095,1892-02-20,1/27/1906,Coeur d&#39;Alene,Idaho,"47.7019211, -116.7900083",NA
394,The Coeur d'Alene press.,sn88056096,8/6/1906,11/16/1907,Coeur d&#39;Alene,Idaho,"47.7019211, -116.7900083",NA
395,Cottonwood chronicle.,sn88056166,9/21/1917,12/29/1922,Cottonwood,Idaho,"46.0484923, -116.3495898",NA
396,Cottonwood report.,sn88056164,1893-01-27,3/29/1901,Cottonwood,Idaho,"46.0484923, -116.3495898",NA
397,Elmore bulletin.,sn86091060,1889-06-01,6/1/1905,Rocky Bar,Idaho,"43.6890636, -115.2900855",NA
398,Elmore County Republican.,sn86091062,5/7/1910,12/4/1915,Mountain Home,Idaho,"43.1329504, -115.6911975",NA
399,Evening capital news.,sn88056024,9/16/1912,1/14/1920,Boise,Idaho,"43.6150186, -116.2023137",NA
400,The Gem worker and the Idaho labor herald.,sn88056075,12/17/1914,1/4/1917,Boise,Idaho,"43.6150186, -116.2023137",NA
401,The Grangeville globe.,sn86091099,12/4/1907,4/27/1922,Grangeville,Idaho,"45.926552, -116.1223654",NA
402,Idaho County free press.,sn86091100,1886-06-18,12/27/1917,Grangeville,Idaho,"45.926552, -116.1223654",NA
403,Idaho labor herald.,sn88056074,11/14/1914,12/10/1914,Boise,Idaho,"43.6150186, -116.2023137",NA
404,Idaho news.,sn88056018,1887-06-11,1891-10-31,Blackfoot,Idaho,"43.1904709, -112.3449773",NA
